"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
teila_1,datenerhebungsbogen,"<div class=""rich-text-field-label""><h4>Erhebung demografischer Daten basierend auf Daten aus Ihrem PVS</h4></div>",descriptive,"<div class=""rich-text-field-label""><p>Wie viele Personen aus den folgenden Altersgruppen wurden im <span style=""text-decoration: underline; background-color: #bfedd2;"">1. Quartal 2024</span> in Ihrer Hausarztpraxis behandelt?</p></div>",,,,,,,,,,,,,
teila_1a,datenerhebungsbogen,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100%;"" border=""1""><colgroup><col style=""width: 11.2216%;""><col style=""width: 44.3182%;""><col style=""width: 44.3182%;""></colgroup> <tbody> <tr> <td> </td> <td> </td> <td>Anzahl (n)</td> </tr> <tr> <td>1.1 </td> <td>≤ 4 Jahre (GOP 03001/04001)</td> <td>{teila_1_1}</td> </tr> <tr> <td>1.2</td> <td>5 bis 18 Jahre (GOP 03002/04002)</td> <td>{teila_1_2}</td> </tr> <tr> <td>1.3</td> <td>19 bis 54 Jahre (GOP 03003/04003)</td> <td>{teila_1_3}</td> </tr> <tr> <td>1.4</td> <td>55 bis 75 Jahre (GOP 03004/04004)</td> <td>{teila_1_4}</td> </tr> <tr> <td>1.5</td> <td>>75 Jahre (GOP 03005/ 04005)</td> <td>{teila_1_5}</td> </tr> </tbody> </table></div>",,,,,,,,,,,,,
teila_1_1,datenerhebungsbogen,,text,"≤ 4 Jahre (GOP 03001/04001) ",,,number,0,1000,,,,,,,,
teila_1_2,datenerhebungsbogen,,text,"5 bis 18 Jahre (GOP 03002/04002)",,,number,0,2000,,,,,,,,
teila_1_3,datenerhebungsbogen,,text,"19 bis 54 Jahre (GOP 03003/04003)",,,number,0,5000,,,,,,,,
teila_1_4,datenerhebungsbogen,,text,"55 bis 75 Jahre (GOP 03004/04004)",,,number,0,5000,,,,,,,,
teila_1_5,datenerhebungsbogen,,text,">75 Jahre (GOP 03005/ 04005)",,,number,0,5000,,,,,,,,
teila_2,datenerhebungsbogen,,descriptive,"<div class=""rich-text-field-label""><p>Wie viele Personen mit folgendem Geschlecht wurden im <span style=""text-decoration: underline; background-color: #bfedd2;"">1. Quartal 2024</span> in Ihrer Hausarztpraxis behandelt? </p></div>",,,,,,,,,,,,,
teila_2a,datenerhebungsbogen,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100%;"" border=""1""><colgroup><col style=""width: 11.2216%;""><col style=""width: 44.3182%;""><col style=""width: 44.3182%;""></colgroup> <tbody> <tr> <td> </td> <td> </td> <td>Anzahl (n)</td> </tr> <tr> <td>2.1 </td> <td>männlich</td> <td>{teila_2_1}</td> </tr> <tr> <td>2.2</td> <td>weiblich</td> <td>{teila_2_2}</td> </tr> <tr> <td>2.3</td> <td>divers</td> <td>{teila_2_3}</td> </tr> </tbody> </table></div>",,,,,,,,,,,,,
teila_2_1,datenerhebungsbogen,,text,männlich,,,number,0,,,,,,,,,
teila_2_2,datenerhebungsbogen,,text,weiblich,,,number,0,,,,,,,,,
teila_2_3,datenerhebungsbogen,,text,divers,,,number,0,,,,,,,,,
teila_3,datenerhebungsbogen,"<div class=""rich-text-field-label""><h4>Erhebung von Daten zu Post-COVID basierend auf Daten Ihres PVS</h4></div>",descriptive,"<div class=""rich-text-field-label""><p>Wie viele COVID-19 Impfungen haben Sie von 01.04.2021 bis 31.03.2024 Ihrer Kassenärztlichen Vereinigung insgesamt gemeldet?</p></div>",,,,,,,,,,,,,
teila_3a,datenerhebungsbogen,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100%; height: 175px;"" border=""1""><colgroup><col style=""width: 11.2216%;""><col style=""width: 44.3182%;""><col style=""width: 44.3182%;""></colgroup> <tbody> <tr style=""height: 25px;""> <td style=""height: 25px;""> </td> <td style=""height: 25px;""> </td> <td style=""height: 25px;"">Anzahl (n)</td> </tr> <tr style=""height: 25px;""> <td style=""height: 25px;"">3.1 </td> <td style=""height: 25px;"">Impfung 1 (Grundimmunisierung)</td> <td style=""height: 25px;"">{teila_3_1}</td> </tr> <tr style=""height: 25px;""> <td style=""height: 25px;"">3.2</td> <td style=""height: 25px;"">Impfung 2 (Grundimmunisierung)</td> <td style=""height: 25px;"">{teila_3_2}</td> </tr> <tr style=""height: 25px;""> <td style=""height: 25px;"">3.3</td> <td style=""height: 25px;"">Impfung 3 (Auffrischimpfung)</td> <td style=""height: 25px;"">{teila_3_3}</td> </tr> <tr style=""height: 25px;""> <td style=""height: 25px;"">3.4</td> <td style=""height: 25px;"">Impfung 4 (Auffrischimpfung)</td> <td style=""height: 25px;"">{teila_3_4}</td> </tr> <tr style=""height: 25px;""> <td style=""height: 25px;"">3.5</td> <td style=""height: 25px;"">Impfung 5 (Auffrischimpfung)</td> <td style=""height: 25px;"">{teila_3_5}</td> </tr> <tr style=""height: 25px;""> <td style=""height: 25px;"">3.6</td> <td style=""height: 25px;"">Impfung 6 (Auffrischimpfung)</td> <td style=""height: 25px;"">{teila_3_6}</td> </tr> <tr> <td>3.7</td> <td>Impfungen gesamt</td> <td>{teila_3_7}</td> </tr> </tbody> </table> <p> </p></div>",,,,,,,,,,,,,
teila_3_1,datenerhebungsbogen,,text,"Impfung 1 (Grundimmunisierung)",,,number,0,10000,,,,,,,,
teila_3_2,datenerhebungsbogen,,text,"Impfung 2 (Grundimmunisierung)",,,number,0,10000,,,,,,,,
teila_3_3,datenerhebungsbogen,,text,"Impfung 3 (Auffrischimpfung)",,,number,0,10000,,,,,,,,
teila_3_4,datenerhebungsbogen,,text,"Impfung 4 (Auffrischimpfung)",,,number,0,10000,,,,,,,,
teila_3_5,datenerhebungsbogen,,text,"Impfung 5 (Auffrischimpfung)",,,number,0,10000,,,,,,,,
teila_3_6,datenerhebungsbogen,,text,"Impfung 6 (Auffrischimpfung)",,,number,0,10000,,,,,,,,
teila_3_7,datenerhebungsbogen,,text,"Anzahl Impfungen gesamt",,,number,0,15000,,,,,,,,
teila_4,datenerhebungsbogen,,descriptive,"<div class=""rich-text-field-label""><p>Wie viele Erstimpfungen BioNTech/Pfizer (Comirnaty), Moderna (Covid-19 Vaccine Moderna) und AstraZeneca (COVID-19 Vaccine AstraZeneca) wurden im <span style=""text-decoration: underline; background-color: #eccafa;"">2. Quartal 2021</span> in Ihrer Hausarztpraxis durchgeführt?</p></div>",,,,,,,,,,,,,
teila_4a,datenerhebungsbogen,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100%; height: 107px; border-width: 1px;"" border=""1""><colgroup><col style=""width: 11.2216%;""><col style=""width: 44.3182%;""><col style=""width: 44.3182%;""></colgroup> <tbody> <tr style=""height: 25px;""> <td style=""height: 25px;""> </td> <td style=""height: 25px;""> </td> <td style=""height: 25px;"">Anzahl (n)</td> </tr> <tr style=""height: 29.5px;""> <td style=""height: 29.5px;"">4.1</td> <td style=""height: 29.5px;"">BioNTech/Pfizer (GOP 88331A)</td> <td style=""height: 29.5px;"">{teila_4_1}</td> </tr> <tr style=""height: 25px;""> <td style=""height: 25px;"">4.2</td> <td style=""height: 25px;"">Moderna (GOP 88332A)</td> <td style=""height: 25px;"">{teila_4_2}</td> </tr> <tr style=""height: 27.5px;""> <td style=""height: 27.5px;"">4.3</td> <td style=""height: 27.5px;"">AstraZeneca (GOP 88333A)</td> <td style=""height: 27.5px;"">{teila_4_3}</td> </tr> </tbody> </table></div>",,,,,,,,,,,,,
teila_4_1,datenerhebungsbogen,,text,"BioNTech/Pfizer (GOP 88331A)",,,number,0,2000,,,,,,,,
teila_4_2,datenerhebungsbogen,,text,"Moderna (GOP 88332A)",,,number,0,2000,,,,,,,,
teila_4_3,datenerhebungsbogen,,text,"AstraZeneca (GOP 88333A)",,,number,0,2000,,,,,,,,
teila_5,datenerhebungsbogen,,descriptive,"<div class=""rich-text-field-label""><p>Wie viele Patient*innen hatten Sie im <span style=""text-decoration: underline; background-color: #eccafa;"">2. Quartal 2021</span> mit folgenden Erkrankungen/ Zuständen in ihrer Hausarztpraxis?</p></div>",,,,,,,,,,,,,
teila_5a,datenerhebungsbogen,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100%; height: 107px; border-width: 1px;"" border=""1""><colgroup><col style=""width: 11.2216%;""><col style=""width: 44.3182%;""><col style=""width: 44.3182%;""></colgroup> <tbody> <tr style=""height: 25px;""> <td style=""height: 25px;""> </td> <td style=""height: 25px;""> </td> <td style=""height: 25px;"">Anzahl (n)</td> </tr> <tr style=""height: 29.5px;""> <td style=""height: 29.5px;"">5.1</td> <td style=""height: 29.5px;"">ICD U09.9 bzw U09.9! Post-COVID-19-Zustand  </td> <td style=""height: 29.5px;"">{teila_5_1}</td> </tr> <tr style=""height: 25px;""> <td style=""height: 25px;"">5.2</td> <td style=""height: 25px;"">ICD U10.9 Multisystemisches Entzündungssyndrom in Verbindung mit COVID-19</td> <td style=""height: 25px;"">{teila_5_2}</td> </tr> <tr style=""height: 27.5px;""> <td style=""height: 27.5px;"">5.3</td> <td style=""height: 27.5px;"">ICD G93.3 Chronisches Fatigue Syndrom  Chronic fatigue syndrome)</td> <td style=""height: 27.5px;"">{teila_5_3}</td> </tr> <tr> <td>5.4</td> <td>ICD U12.9 Unerwünschte Nebenwirkungen bei der Anwendung von COVID-19-Impfstoffen, nicht näher bezeichnet</td> <td>{teila_5_4}</td> </tr> <tr> <td>5.5</td> <td>ICD T88.1 Sonstige Komplikationen nach Impfung</td> <td>{teila_5_5}</td> </tr> <tr> <td>5.6</td> <td>Sonstige ICD-Codierung (in Bezug auf Post-COVID)</td> <td>{teila_5_6}</td> </tr> </tbody> </table></div>",,,,,,,,,,,,,
teila_5_1,datenerhebungsbogen,,text,"ICD U09.9 Post-COVID-19-Zustand",,,number,0,500,,,,,,,,
teila_5_2,datenerhebungsbogen,,text,"ICD U10.9 Multisystemisches Entzündungssyndrom in Verbindung mit COVID-19 ",,,number,0,500,,,,,,,,
teila_5_3,datenerhebungsbogen,,text," ICD G93.3 Chronisches Fatigue Syndrom (Chronic fatigue syndrome) ",,,number,0,500,,,,,,,,
teila_5_4,datenerhebungsbogen,,text,"ICD U12.9 Unerwünschte Nebenwirkungen bei der Anwendung von COVID-19-Impfstoffen, nicht näher bezeichnet ",,,number,0,500,,,,,,,,
teila_5_5,datenerhebungsbogen,,text,"ICD T88.1 Sonstige Komplikationen nach Impfung",,,number,0,500,,,,,,,,
teila_5_6,datenerhebungsbogen,,text,"Sonstige ICD-Codierung (in Bezug auf Post-COVID) ",,,number,0,500,,,,,,,,
teila_6,datenerhebungsbogen,,descriptive,"<div class=""rich-text-field-label""><p>Wie viele Patient*innen hatten Sie im <span style=""text-decoration: underline; background-color: #bfedd2;"">1. Quartal 2024</span> mit folgenden Erkrankungen/ Zuständen in ihrer Hausarztpraxis?</p></div>",,,,,,,,,,,,,
teila_6a,datenerhebungsbogen,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100%; height: 107px; border-width: 1px;"" border=""1""><colgroup><col style=""width: 11.2216%;""><col style=""width: 44.3182%;""><col style=""width: 44.3182%;""></colgroup> <tbody> <tr style=""height: 25px;""> <td style=""height: 25px;""> </td> <td style=""height: 25px;""> </td> <td style=""height: 25px;"">Anzahl (n)</td> </tr> <tr style=""height: 29.5px;""> <td style=""height: 29.5px;"">6.1</td> <td style=""height: 29.5px;"">ICD U09.9- Post-COVID-19-Zustand</td> <td style=""height: 29.5px;"">{teila_6_1}</td> </tr> <tr style=""height: 25px;""> <td style=""height: 25px;"">6.2</td> <td style=""height: 25px;"">ICD U10.9 Multisystemisches Entzündungssyndrom in <br>Verbindung mit COVID-19  </td> <td style=""height: 25px;"">{teila_6_2}</td> </tr> <tr style=""height: 27.5px;""> <td style=""height: 27.5px;"">6.3</td> <td style=""height: 27.5px;"">ICD G93.3 Chronisches Fatigue Syndrom (Chronic fatigue <br>syndrome) </td> <td style=""height: 27.5px;"">{teila_6_3}</td> </tr> <tr> <td>6.4</td> <td> ICD U12.9- Unerwünschte Nebenwirkungen bei der Anwendung von COVID-19-Impfstoffen, nicht näher bezeichnet</td> <td>{teila_6_4}</td> </tr> <tr> <td>6.5</td> <td>ICD T88.1 Sonstige Komplikationen nach Impfung</td> <td>{teila_6_5}</td> </tr> <tr> <td>6.6</td> <td>Sonstige ICD-Codierung (in Bezug auf Post-COVID)</td> <td>{teila_6_6}</td> </tr> </tbody> </table> <p> </p></div>",,,,,,,,,,,,,
teila_6_1,datenerhebungsbogen,,text,"ICD U09.9 Post-COVID-19-Zustand",,,number,0,500,,,,,,,,
teila_6_2,datenerhebungsbogen,,text,"ICD U10.9 Multisystemisches Entzündungssyndrom in Verbindung mit COVID-19 ",,,number,0,500,,,,,,,,
teila_6_3,datenerhebungsbogen,,text," ICD G93.3 Chronisches Fatigue Syndrom (Chronic fatigue syndrome) ",,,number,0,500,,,,,,,,
teila_6_4,datenerhebungsbogen,,text,"ICD U12.9 Unerwünschte Nebenwirkungen bei der Anwendung von COVID-19-Impfstoffen, nicht näher bezeichnet ",,,number,0,500,,,,,,,,
teila_6_5,datenerhebungsbogen,,text,"ICD T88.1 Sonstige Komplikationen nach Impfung",,,number,0,500,,,,,,,,
teila_6_6,datenerhebungsbogen,,text,"Sonstige ICD-Codierung (in Bezug auf Post-COVID)",,,number,0,500,,,,,,,,
teila_7,datenerhebungsbogen,,yesno,"<div class=""rich-text-field-label""><p>7.1 Wurden Patient*innen mit Post-Covid im <span style=""text-decoration: underline; background-color: #bfedd2;"">1. Quartal 2024</span> von Ihnen immer mit ICD U09.9 bzw. ICD U10.9 bzw. ICD G93.3 codiert?</p> <p> </p></div>",,,,,,,,,LV,,,,
teila_7_code,datenerhebungsbogen,,text,"<div class=""rich-text-field-label""><p>7.2 Wenn nein, welche Codierung(en) wurden (auch) verwendet: </p></div>",,,,,,,"[teila_7] = '0'",,LV,,,,
teila_8_1,datenerhebungsbogen,"8. Inwieweit stimmen Sie den folgenden Aussagen zu:",radio,"Die vorhandenen Impfungen stellen einen  wirksamen Schutz vor COVID-19 dar.","1, gar nicht|2, eher nicht|3, bin unentschieden|4, eher ja|5, voll und ganz",,,,,,,y,,8.1,teila_8,,
teila_8_2,datenerhebungsbogen,,radio,"Ich fühle mich kompetent in der Diagnostik von  Patient*innen mit Post-COVID19-Zustand.","1, gar nicht|2, eher nicht|3, bin unentschieden|4, eher ja|5, voll und ganz",,,,,,,y,,8.2,teila_8,,
teila_8_3,datenerhebungsbogen,,radio,"Ich fühle mich kompetent in der Therapie von  Patient*innen mit Post-COVID19-Zustand.","1, gar nicht|2, eher nicht|3, bin unentschieden|4, eher ja|5, voll und ganz",,,,,,,y,,8.3,teila_8,,
teila_9,datenerhebungsbogen,,radio,"<div class=""rich-text-field-label""><p>9.1 Gibt es Ihrer Meinung nach Patientengruppen, die anfälliger für Post-COVID sind?</p></div>","1, Ja|0, Nein|2, Ich bin mir unsicher",,,,,,,,LV,,,,
teila_9_pat,datenerhebungsbogen,,text,"<div class=""rich-text-field-label""><p>9.2 Wenn ja, welche Patientengruppen? </p></div>",,,,,,,"[teila_9] = '1'",,LV,,,,
teila_10,datenerhebungsbogen,,radio,"<div class=""rich-text-field-label""><p>10.1 Stellt Post-COVID Ihrer Meinung nach eine eigene Krankheitsentität dar?</p></div>","1, Ja|0, Nein|2, Ich bin mir unsicher",,,,,,,,LV,,,,
teila_10_pat,datenerhebungsbogen,,text,"<div class=""rich-text-field-label""><p>10.2 Wenn nein, welchen anderen Krankheiten lassen sich die Symptome zuordnen?</p></div>",,,,,,,"[teila_10] = '0'",,LV,,,,
teila_10_pat_2,datenerhebungsbogen,,text,"<div class=""rich-text-field-label""><p>10.2 Wenn Sie unsicher sind, welchen anderen Krankheiten lassen sich die Symptome zuordnen?</p></div>",,,,,,,"[teila_10] = '2'",,LV,,,,
teila_11,datenerhebungsbogen,,checkbox,"11. Was sind die Beratungsanlässe von Patient*innen mit Post-COVID in Ihrer Praxis? Bitte kreuzen Sie an (Mehrfachnennungen möglich)","1, Beschwerden der oberen Atemwege|2, Brustbeschwerden/ kardiale Beschwerden|3, Muskuloskelettale Schmerzen|4, Fieber und Schüttelfrost|5, Neurokognitive Beeinträchtigung|6, Kopfschmerzen/ Schwindel|7, Geruchs-/ Geschmackstörungen|8, Fatigue (ständige, starke Müdigkeit)|9, Psychologische Symptome|10, Magen-Darm-Beschwerden|11, Schlafbeschwerden|12, Sonstiges {teila_11_sonst}",,,,,,,,LV,,,,
teila_11_sonst,datenerhebungsbogen,,text,"<div class=""rich-text-field-label""><p>Sonstiges:</p></div>",,,,,,,"[teila_11(12)] = '1'",,LV,,,,
teila_12,datenerhebungsbogen,"<div class=""rich-text-field-label""><h4>Erhebung von Informationen und Daten zu Post-VAC</h4></div>",radio,"<div class=""rich-text-field-label""><p>12.1 Stellt Post-VAC Ihrer Meinung nach eine eigene Krankheitsentität dar? </p></div>","1, Ja|0, Nein|2, Ich bin mir unsicher",,,,,,,,LV,,,,
teila_12_andere,datenerhebungsbogen,,text,"<div class=""rich-text-field-label""><p> 12.2 Wenn nein, welchen anderen Krankheiten lassen sich die Symptome zuordnen? </p></div>",,,,,,,"[teila_12] = '0'",,LV,,,,
teila_12_andere_2,datenerhebungsbogen,,text,"<div class=""rich-text-field-label""><p> 12.2 Wenn Sie unsicher sind, welchen anderen Krankheiten lassen sich die Symptome zuordnen? </p></div>",,,,,,,"[teila_12] = '2'",,LV,,,,
teila_13,datenerhebungsbogen,,radio,"<div class=""rich-text-field-label""><p>13.1 Gab es bereits Patient*innen in Ihrer Praxis<span style=""background-color: #ffffff;"">, <span style=""color: #ba372a;"">die von sich aus den Verdacht geäußert haben</span></span>, dass ihre Beschwerden Nebenwirkungen der Covid-19-Impfung waren. (Post-VAC-Syndrom)</p></div>","1, Ja|0, Nein|2, Ich bin mir unsicher",,,,,,,,LV,,,,
teila_13_pat,datenerhebungsbogen,,text,"<div class=""rich-text-field-label""><p>13.2 Wenn ja, wie viele ungefähr? </p></div>",,,number,0,,,"[teila_13] = '1'",,LV,,,,
teila_13_anlass,datenerhebungsbogen,,checkbox,"13.3 Wenn ja, mit welchen Beratungsanlässen? Bitte kreuzen Sie an (Mehrfachnennungen möglich)","1, Beschwerden der oberen Atemwege|2, Brustbeschwerden/ kardiale Beschwerden|3, Muskuloskelettale Schmerzen|4, Fieber und Schüttelfrost|5, Neurokognitive Beeinträchtigung|6, Kopfschmerzen/ Schwindel|7, Geruchs-/ Geschmackstörungen|8, Fatigue (ständige, starke Müdigkeit)|9, Psychologische Symptome|10, Magen-Darm-Beschwerden|11, Schlafbeschwerden|12, Sonstiges {teila_13_sonst}",,,,,,"[teila_13] = '1'",,LV,,,,
teila_13_sonst,datenerhebungsbogen,,text,"<div class=""rich-text-field-label""><p>Sonstiges:</p></div>",,,,,,,"[teila_13_anlass(12)] = '1'",,LV,,,,
teila_14,datenerhebungsbogen,,radio,"<div class=""rich-text-field-label""><p>14.1 Gab es bereits Patient*innen in Ihrer Praxis,<span style=""color: #ba372a;""> bei denen Sie den Verdacht</span> auf ein Post-VAC Syndrom (seltene unerwünschte Reaktionen auf Impfung) hatten?</p></div>","1, Ja|0, Nein|2, Ich bin mir unsicher",,,,,,,,LV,,,,
teila_14_pat,datenerhebungsbogen,,text,"<div class=""rich-text-field-label""><p>14.2 Wenn ja, wie viele ungefähr? </p></div>",,,number,0,,,"[teila_14] = '1'",,LV,,,,
teila_14_anlass,datenerhebungsbogen,,checkbox,"14.3 Wenn ja, mit welchen Beratungsanlässen? Bitte kreuzen Sie an (Mehrfachnennungen möglich)","1, Beschwerden der oberen Atemwege|2, Brustbeschwerden/ kardiale Beschwerden|3, Muskuloskelettale Schmerzen|4, Fieber und Schüttelfrost|5, Neurokognitive Beeinträchtigung|6, Kopfschmerzen/ Schwindel|7, Geruchs-/ Geschmackstörungen|8, Fatigue (ständige, starke Müdigkeit)|9, Psychologische Symptome|10, Magen-Darm-Beschwerden|11, Schlafbeschwerden|12, Sonstiges {teila_14_sonst}",,,,,,"[teila_14] = '1'",,LV,,,,
teila_14_sonst,datenerhebungsbogen,,text,"<div class=""rich-text-field-label""><p>Sonstiges:</p></div>",,,,,,,"[teila_14_anlass(12)] = '1'",,LV,,,,
teila_15_1,datenerhebungsbogen,"15. Zum Schluss vier Fragen an Sie zur Durchführung dieser Umfrage:",text,"15.1 Wie viele Minuten haben Sie ungefähr für die Bearbeitung der Umfrage benötigt? (Erklärung lesen, Link aufrufen, Raussuchen der Daten, Eingabe der Daten, ...)",,"in Minuten",number,0,120,,,,,,,,
teila_15_2,datenerhebungsbogen,,radio,"15.2 Hat die Bearbeitung dieser Umfrage Ihre beruflichen Abläufe gestört?","0, nein, gar nicht|1, nur minimal|2, ja, ziemlich|3, ja, deutlich",,,,,,,,,,,,
teila_15_3,datenerhebungsbogen,,radio,"15.3 Fanden Sie die Bearbeitung dieser Umfrage interessant?","0, nein, gar nicht|1, ja, etwas|2, ja, ziemlich|3, ja, sehr",,,,,,,,,,,,
teila_15_4,datenerhebungsbogen,,radio,"15.4 Würden Sie an so einer Art von Umfrage (Daten aus Ihrem Praxisverwaltungssystem) wieder teilnehmen?","0, nein, nicht noch einmal|1, nur vielleicht|2, wahrscheinlich schon|3, ja, auf jeden Fall",,,,,,,,,,,,
ende,datenerhebungsbogen,,descriptive,"<div class=""rich-text-field-label""><h2 style=""text-align: center;"">Vielen Dank für das Ausfüllen des Fragebogens!</h2></div>",,,,,,,,,,,,,
